DeptoOrigen,Toneladas,date
Caldas,3438,Sep 2011
Huila,5522,Sep 2011
Quindio,1408,Sep 2011
Risaralda,3756,Sep 2011
Tolima,1563,Sep 2011
Antioquia,3506,Apr 2012
Bogota,1459,Apr 2012
Caldas,3626,Apr 2012
Huila,3280,Apr 2012
Quindio,2174,Apr 2012
Risaralda,4338,Apr 2012
Tolima,1551,Apr 2012
Antioquia,3270,Aug 2012
Bogota,2246,Aug 2012
Caldas,7814,Aug 2012
Huila,7019,Aug 2012
Quindio,3153,Aug 2012
Risaralda,6865,Aug 2012
Tolima,4116,Aug 2012
Antioquia,5983,Dec 2012
Bogota,1915,Dec 2012
Caldas,8075,Dec 2012
Huila,6439,Dec 2012
Quindio,2780,Dec 2012
Risaralda,6870,Dec 2012
Tolima,1505,Dec 2012
Antioquia,4862,Jan 2012
Bogota,3011,Jan 2012
Caldas,6220,Jan 2012
Huila,5392,Jan 2012
Quindio,3815,Jan 2012
Risaralda,5187,Jan 2012
Tolima,2491,Jan 2012
Antioquia,6485,Feb 2012
Bogota,3413,Feb 2012
Caldas,4568,Feb 2012
Huila,5452,Feb 2012
Quindio,2007,Feb 2012
Risaralda,5016,Feb 2012
Tolima,2493,Feb 2012
Antioquia,2967,Jul 2012
Bogota,2824,Jul 2012
Caldas,5613,Jul 2012
Huila,5923,Jul 2012
Quindio,2529,Jul 2012
Risaralda,6925,Jul 2012
Tolima,3561,Jul 2012
Antioquia,4452,Jun 2012
Bogota,2086,Jun 2012
Caldas,6476,Jun 2012
Huila,4340,Jun 2012
Quindio,3234,Jun 2012
Risaralda,6269,Jun 2012
Tolima,4587,Jun 2012
Antioquia,6620,Mar 2012
Bogota,2897,Mar 2012
Caldas,6118,Mar 2012
Huila,5834,Mar 2012
Quindio,3352,Mar 2012
Risaralda,5187,Mar 2012
Tolima,2253,Mar 2012
Antioquia,4106,May 2012
Bogota,2596,May 2012
Caldas,5580,May 2012
Huila,4304,May 2012
Quindio,2840,May 2012
Risaralda,7191,May 2012
Tolima,2791,May 2012
Antioquia,4273,Nov 2012
Bogota,2221,Nov 2012
Caldas,5864,Nov 2012
Huila,7014,Nov 2012
Quindio,2288,Nov 2012
Risaralda,5681,Nov 2012
Tolima,2244,Nov 2012
Antioquia,2661,Oct 2012
Bogota,1937,Oct 2012
Caldas,7497,Oct 2012
Huila,7848,Oct 2012
Quindio,3598,Oct 2012
Risaralda,6556,Oct 2012
Tolima,2910,Oct 2012
Antioquia,2742,Sep 2012
Bogota,2178,Sep 2012
Caldas,5471,Sep 2012
Huila,5042,Sep 2012
Quindio,3201,Sep 2012
Risaralda,4921,Sep 2012
Tolima,1347,Sep 2012
Antioquia,7241,Apr 2013
Bogota,2497,Apr 2013
Caldas,7373,Apr 2013
Huila,6029,Apr 2013
Quindio,4451,Apr 2013
Risaralda,6426,Apr 2013
Tolima,2105,Apr 2013
Antioquia,7401,Aug 2013
Bogota,4946,Aug 2013
Caldas,7601,Aug 2013
Huila,8996,Aug 2013
Quindio,6343,Aug 2013
Risaralda,4739,Aug 2013
Tolima,2904,Aug 2013
Antioquia,10055,Dec 2013
Bogota,5103,Dec 2013
Caldas,10567,Dec 2013
Huila,11477,Dec 2013
Quindio,7373,Dec 2013
Risaralda,8973,Dec 2013
Tolima,1744,Dec 2013
Antioquia,6911,Jan 2013
Bogota,3020,Jan 2013
Caldas,8056,Jan 2013
Huila,8103,Jan 2013
Quindio,3233,Jan 2013
Risaralda,7294,Jan 2013
Tolima,1137,Jan 2013
Antioquia,8294,Feb 2013
Bogota,4231,Feb 2013
Caldas,7558,Feb 2013
Huila,7550,Feb 2013
Quindio,2147,Feb 2013
Risaralda,5194,Feb 2013
Tolima,2369,Feb 2013
Antioquia,7431,Jul 2013
Bogota,3815,Jul 2013
Caldas,5415,Jul 2013
Huila,7697,Jul 2013
Quindio,6808,Jul 2013
Risaralda,5621,Jul 2013
Tolima,2687,Jul 2013
Antioquia,7809,Jun 2013
Bogota,3282,Jun 2013
Caldas,6076,Jun 2013
Huila,5850,Jun 2013
Quindio,4052,Jun 2013
Risaralda,5521,Jun 2013
Tolima,1778,Jun 2013
Antioquia,6746,Mar 2013
Bogota,2646,Mar 2013
Caldas,5231,Mar 2013
Huila,5156,Mar 2013
Quindio,1754,Mar 2013
Risaralda,5060,Mar 2013
Tolima,1457,Mar 2013
Antioquia,7660,May 2013
Bogota,3631,May 2013
Caldas,8544,May 2013
Huila,8279,May 2013
Quindio,4640,May 2013
Risaralda,6936,May 2013
Tolima,2269,May 2013
Antioquia,5613,Nov 2013
Bogota,4975,Nov 2013
Caldas,10280,Nov 2013
Huila,9645,Nov 2013
Quindio,4467,Nov 2013
Risaralda,10458,Nov 2013
Tolima,2846,Nov 2013
Antioquia,3511,Oct 2013
Bogota,5058,Oct 2013
Caldas,8208,Oct 2013
Huila,9338,Oct 2013
Quindio,6752,Oct 2013
Risaralda,5234,Oct 2013
Tolima,2253,Oct 2013
Antioquia,4260,Sep 2013
Bogota,2313,Sep 2013
Caldas,7297,Sep 2013
Huila,7792,Sep 2013
Quindio,5747,Sep 2013
Risaralda,8927,Sep 2013
Tolima,2500,Sep 2013
Antioquia,9803,Apr 2014
Bogota,5177,Apr 2014
Caldas,11238,Apr 2014
Huila,7562,Apr 2014
Quindio,5470,Apr 2014
Risaralda,10716,Apr 2014
Tolima,1616,Apr 2014
Antioquia,4708,Aug 2014
Bogota,2144,Aug 2014
Caldas,8649,Aug 2014
Huila,8752,Aug 2014
Quindio,5900,Aug 2014
Risaralda,8384,Aug 2014
Tolima,3522,Aug 2014
Antioquia,6754,Dec 2014
Bogota,4891,Dec 2014
Caldas,5680,Dec 2014
Huila,9786,Dec 2014
Quindio,5321,Dec 2014
Risaralda,11170,Dec 2014
Tolima,2655,Dec 2014
Antioquia,6647,Jan 2014
Bogota,1030,Jan 2014
Caldas,8927,Jan 2014
Huila,8587,Jan 2014
Quindio,5419,Jan 2014
Risaralda,9432,Jan 2014
Tolima,2188,Jan 2014
Antioquia,7573,Feb 2014
Bogota,9159,Feb 2014
Caldas,10755,Feb 2014
Huila,9150,Feb 2014
Quindio,6698,Feb 2014
Risaralda,12384,Feb 2014
Tolima,3298,Feb 2014
Antioquia,5026,Jul 2014
Bogota,5244,Jul 2014
Caldas,8377,Jul 2014
Huila,9088,Jul 2014
Quindio,5127,Jul 2014
Risaralda,9494,Jul 2014
Tolima,3831,Jul 2014
Antioquia,4391,Jun 2014
Bogota,3129,Jun 2014
Caldas,6146,Jun 2014
Huila,7243,Jun 2014
Quindio,4969,Jun 2014
Risaralda,4908,Jun 2014
Tolima,2921,Jun 2014
Antioquia,6918,Mar 2014
Bogota,4967,Mar 2014
Caldas,7174,Mar 2014
Huila,7719,Mar 2014
Quindio,3792,Mar 2014
Risaralda,6302,Mar 2014
Tolima,2178,Mar 2014
Antioquia,5553,May 2014
Bogota,3780,May 2014
Caldas,11129,May 2014
Huila,6094,May 2014
Quindio,4004,May 2014
Risaralda,9581,May 2014
Tolima,4162,May 2014
Antioquia,7389,Nov 2014
Bogota,4952,Nov 2014
Caldas,10242,Nov 2014
Huila,8220,Nov 2014
Quindio,7153,Nov 2014
Risaralda,11229,Nov 2014
Tolima,2966,Nov 2014
Antioquia,5164,Oct 2014
Bogota,2089,Oct 2014
Caldas,9052,Oct 2014
Huila,10287,Oct 2014
Quindio,6486,Oct 2014
Risaralda,11160,Oct 2014
Tolima,3618,Oct 2014
Antioquia,3160,Sep 2014
Bogota,4421,Sep 2014
Caldas,7771,Sep 2014
Huila,11448,Sep 2014
Quindio,5416,Sep 2014
Risaralda,7669,Sep 2014
Tolima,3180,Sep 2014
Antioquia,9197,Apr 2015
Bogota,5196,Apr 2015
Caldas,6920,Apr 2015
Huila,6665,Apr 2015
Quindio,4598,Apr 2015
Risaralda,6797,Apr 2015
Tolima,2561,Apr 2015
Antioquia,9018,Aug 2015
Bogota,2685,Aug 2015
Caldas,9887,Aug 2015
Huila,12163,Aug 2015
Quindio,6196,Aug 2015
Risaralda,11559,Aug 2015
Tolima,2527,Aug 2015
Antioquia,9113,Dec 2015
Bogota,3767,Dec 2015
Caldas,9934,Dec 2015
Huila,11890,Dec 2015
Quindio,6765,Dec 2015
Risaralda,13696,Dec 2015
Tolima,2816,Dec 2015
Antioquia,9870,Jan 2015
Bogota,5153,Jan 2015
Caldas,9632,Jan 2015
Huila,9186,Jan 2015
Quindio,7606,Jan 2015
Risaralda,11642,Jan 2015
Tolima,3316,Jan 2015
Antioquia,12532,Feb 2015
Bogota,5054,Feb 2015
Caldas,6763,Feb 2015
Huila,10609,Feb 2015
Quindio,7616,Feb 2015
Risaralda,8647,Feb 2015
Tolima,3193,Feb 2015
Antioquia,12514,Jul 2015
Bogota,4045,Jul 2015
Caldas,10428,Jul 2015
Huila,13459,Jul 2015
Quindio,6869,Jul 2015
Risaralda,12702,Jul 2015
Tolima,3052,Jul 2015
Antioquia,7155,Jun 2015
Bogota,1624,Jun 2015
Caldas,5672,Jun 2015
Huila,9353,Jun 2015
Quindio,5443,Jun 2015
Risaralda,7999,Jun 2015
Tolima,3051,Jun 2015
Antioquia,11752,Mar 2015
Bogota,4237,Mar 2015
Caldas,6822,Mar 2015
Huila,8583,Mar 2015
Quindio,6776,Mar 2015
Risaralda,6391,Mar 2015
Tolima,3119,Mar 2015
Antioquia,9764,May 2015
Bogota,4084,May 2015
Caldas,7939,May 2015
Huila,8308,May 2015
Quindio,6634,May 2015
Risaralda,10014,May 2015
Tolima,1993,May 2015
Antioquia,9465,Nov 2015
Bogota,3161,Nov 2015
Caldas,9360,Nov 2015
Huila,10237,Nov 2015
Quindio,6085,Nov 2015
Risaralda,11382,Nov 2015
Tolima,2752,Nov 2015
Antioquia,6629,Oct 2015
Bogota,4360,Oct 2015
Caldas,9115,Oct 2015
Huila,11198,Oct 2015
Quindio,6097,Oct 2015
Risaralda,7971,Oct 2015
Tolima,2450,Oct 2015
Antioquia,11902,Sep 2015
Bogota,3626,Sep 2015
Caldas,11817,Sep 2015
Huila,15732,Sep 2015
Quindio,8764,Sep 2015
Risaralda,9648,Sep 2015
Tolima,3392,Sep 2015
Antioquia,19107,Apr 2016
Bogota,5887,Apr 2016
Caldas,15478,Apr 2016
Huila,13708,Apr 2016
Quindio,8220,Apr 2016
Risaralda,14212,Apr 2016
Tolima,2344,Apr 2016
Antioquia,7009,Aug 2016
Bogota,3592,Aug 2016
Caldas,7541,Aug 2016
Huila,7502,Aug 2016
Quindio,4495,Aug 2016
Risaralda,8088,Aug 2016
Tolima,2680,Aug 2016
Antioquia,18953,Dec 2016
Bogota,6733,Dec 2016
Caldas,20693,Dec 2016
Huila,22084,Dec 2016
Quindio,12400,Dec 2016
Risaralda,11601,Dec 2016
Tolima,5145,Dec 2016
Antioquia,6191,Jan 2016
Bogota,2388,Jan 2016
Caldas,5902,Jan 2016
Huila,10520,Jan 2016
Quindio,6371,Jan 2016
Risaralda,9523,Jan 2016
Tolima,2650,Jan 2016
Antioquia,8208,Feb 2016
Bogota,3861,Feb 2016
Caldas,5253,Feb 2016
Huila,11065,Feb 2016
Quindio,7263,Feb 2016
Risaralda,10258,Feb 2016
Tolima,2352,Feb 2016
Antioquia,6157,Jul 2016
Bogota,2678,Jul 2016
Caldas,4217,Jul 2016
Huila,7409,Jul 2016
Quindio,4972,Jul 2016
Risaralda,7331,Jul 2016
Tolima,1144,Jul 2016
Antioquia,9228,Jun 2016
Bogota,3113,Jun 2016
Caldas,10069,Jun 2016
Huila,8139,Jun 2016
Quindio,6119,Jun 2016
Risaralda,8998,Jun 2016
Tolima,1591,Jun 2016
Antioquia,9741,Mar 2016
Bogota,3918,Mar 2016
Caldas,7911,Mar 2016
Huila,8461,Mar 2016
Quindio,4656,Mar 2016
Risaralda,9684,Mar 2016
Tolima,3078,Mar 2016
Antioquia,8830,May 2016
Bogota,3366,May 2016
Caldas,8227,May 2016
Huila,7098,May 2016
Quindio,4139,May 2016
Risaralda,8509,May 2016
Tolima,1748,May 2016
Antioquia,12640,Nov 2016
Bogota,2823,Nov 2016
Caldas,9084,Nov 2016
Huila,7385,Nov 2016
Quindio,6403,Nov 2016
Risaralda,9649,Nov 2016
Tolima,4215,Nov 2016
Antioquia,6884,Oct 2016
Bogota,4293,Oct 2016
Caldas,8419,Oct 2016
Huila,7592,Oct 2016
Quindio,5692,Oct 2016
Risaralda,6552,Oct 2016
Tolima,7136,Oct 2016
Antioquia,7416,Sep 2016
Bogota,4590,Sep 2016
Caldas,8623,Sep 2016
Huila,9184,Sep 2016
Quindio,6583,Sep 2016
Risaralda,6825,Sep 2016
Tolima,3389,Sep 2016
Antioquia,11112,Apr 2017
Bogota,1826,Apr 2017
Caldas,13303,Apr 2017
Huila,6275,Apr 2017
Quindio,5710,Apr 2017
Risaralda,8624,Apr 2017
Tolima,2882,Apr 2017
Antioquia,8547,Aug 2017
Bogota,1980,Aug 2017
Caldas,14354,Aug 2017
Huila,11575,Aug 2017
Quindio,5502,Aug 2017
Risaralda,7064,Aug 2017
Tolima,1810,Aug 2017
Antioquia,9644,Dec 2017
Bogota,1130,Dec 2017
Caldas,13447,Dec 2017
Huila,11797,Dec 2017
Quindio,4945,Dec 2017
Risaralda,7050,Dec 2017
Tolima,2408,Dec 2017
Antioquia,7649,Jan 2017
Bogota,2261,Jan 2017
Caldas,9173,Jan 2017
Huila,9506,Jan 2017
Quindio,6743,Jan 2017
Risaralda,10598,Jan 2017
Tolima,2460,Jan 2017
Antioquia,10698,Feb 2017
Bogota,2564,Feb 2017
Caldas,7685,Feb 2017
Huila,9470,Feb 2017
Quindio,6023,Feb 2017
Risaralda,7007,Feb 2017
Tolima,3516,Feb 2017
Antioquia,8156,Jul 2017
Bogota,2788,Jul 2017
Caldas,16869,Jul 2017
Huila,10296,Jul 2017
Quindio,6573,Jul 2017
Risaralda,7348,Jul 2017
Tolima,2127,Jul 2017
Antioquia,6135,Jun 2017
Bogota,1808,Jun 2017
Caldas,10094,Jun 2017
Huila,4903,Jun 2017
Quindio,2271,Jun 2017
Risaralda,5772,Jun 2017
Tolima,1589,Jun 2017
Antioquia,13005,Mar 2017
Bogota,2761,Mar 2017
Caldas,15448,Mar 2017
Huila,9677,Mar 2017
Quindio,6819,Mar 2017
Risaralda,8495,Mar 2017
Tolima,4000,Mar 2017
Antioquia,11774,May 2017
Bogota,1083,May 2017
Caldas,11222,May 2017
Huila,4577,May 2017
Quindio,3229,May 2017
Risaralda,7186,May 2017
Tolima,1855,May 2017
Antioquia,9721,Nov 2017
Bogota,737,Nov 2017
Caldas,14323,Nov 2017
Huila,11224,Nov 2017
Quindio,4833,Nov 2017
Risaralda,5431,Nov 2017
Tolima,2369,Nov 2017
Antioquia,8481,Oct 2017
Bogota,1118,Oct 2017
Caldas,12394,Oct 2017
Huila,12046,Oct 2017
Quindio,6443,Oct 2017
Risaralda,4879,Oct 2017
Tolima,3127,Oct 2017
Antioquia,8533,Sep 2017
Bogota,1592,Sep 2017
Caldas,13210,Sep 2017
Huila,14777,Sep 2017
Quindio,8312,Sep 2017
Risaralda,7113,Sep 2017
Tolima,2569,Sep 2017
Antioquia,11164,Apr 2018
Bogota,1263,Apr 2018
Caldas,16900,Apr 2018
Huila,6823,Apr 2018
Quindio,6792,Apr 2018
Risaralda,6615,Apr 2018
Tolima,2194,Apr 2018
Antioquia,12478,Jan 2018
Bogota,1627,Jan 2018
Caldas,14581,Jan 2018
Huila,12304,Jan 2018
Quindio,8986,Jan 2018
Risaralda,8713,Jan 2018
Tolima,3451,Jan 2018
Antioquia,9668,Feb 2018
Bogota,952,Feb 2018
Caldas,13420,Feb 2018
Huila,10084,Feb 2018
Quindio,4061,Feb 2018
Risaralda,4354,Feb 2018
Tolima,2191,Feb 2018
Antioquia,8514,Mar 2018
Bogota,854,Mar 2018
Caldas,15030,Mar 2018
Huila,8300,Mar 2018
Quindio,5747,Mar 2018
Risaralda,6396,Mar 2018
Tolima,2197,Mar 2018
Antioquia,9581,May 2018
Bogota,675,May 2018
Caldas,16098,May 2018
Huila,8022,May 2018
Quindio,6063,May 2018
Risaralda,5961,May 2018
Tolima,1777,May 2018
