,DeptoOrigen,Toneladas,date
468,Tolima,3051,Jun 2015
469,Antioquia,11752,Mar 2015
470,Bogota,4237,Mar 2015
471,Caldas,6822,Mar 2015
472,Huila,8583,Mar 2015
473,Quindio,6776,Mar 2015
474,Risaralda,6391,Mar 2015
475,Tolima,3119,Mar 2015
476,Antioquia,9764,May 2015
477,Bogota,4084,May 2015
478,Caldas,7939,May 2015
479,Huila,8308,May 2015
480,Quindio,6634,May 2015
481,Risaralda,10014,May 2015
482,Tolima,1993,May 2015
483,Antioquia,9465,Nov 2015
484,Bogota,3161,Nov 2015
485,Caldas,9360,Nov 2015
486,Huila,10237,Nov 2015
487,Quindio,6085,Nov 2015
488,Risaralda,11382,Nov 2015
489,Tolima,2752,Nov 2015
490,Antioquia,6629,Oct 2015
491,Bogota,4360,Oct 2015
492,Caldas,9115,Oct 2015
493,Huila,11198,Oct 2015
494,Quindio,6097,Oct 2015
495,Risaralda,7971,Oct 2015
496,Tolima,2450,Oct 2015
497,Antioquia,11902,Sep 2015
498,Bogota,3626,Sep 2015
499,Caldas,11817,Sep 2015
500,Huila,15732,Sep 2015
501,Quindio,8764,Sep 2015
502,Risaralda,9648,Sep 2015
503,Tolima,3392,Sep 2015
504,Antioquia,19107,Apr 2016
505,Bogota,5887,Apr 2016
506,Caldas,15478,Apr 2016
507,Huila,13708,Apr 2016
508,Quindio,8220,Apr 2016
509,Risaralda,14212,Apr 2016
510,Tolima,2344,Apr 2016
511,Antioquia,7009,Aug 2016
512,Bogota,3592,Aug 2016
513,Caldas,7541,Aug 2016
514,Huila,7502,Aug 2016
515,Quindio,4495,Aug 2016
516,Risaralda,8088,Aug 2016
517,Tolima,2680,Aug 2016
518,Antioquia,18953,Dec 2016
519,Bogota,6733,Dec 2016
520,Caldas,20693,Dec 2016
521,Huila,22084,Dec 2016
522,Quindio,12400,Dec 2016
523,Risaralda,11601,Dec 2016
524,Tolima,5145,Dec 2016
525,Antioquia,6191,Jan 2016
526,Bogota,2388,Jan 2016
527,Caldas,5902,Jan 2016
528,Huila,10520,Jan 2016
529,Quindio,6371,Jan 2016
530,Risaralda,9523,Jan 2016
531,Tolima,2650,Jan 2016
532,Antioquia,8208,Feb 2016
533,Bogota,3861,Feb 2016
534,Caldas,5253,Feb 2016
535,Huila,11065,Feb 2016
536,Quindio,7263,Feb 2016
537,Risaralda,10258,Feb 2016
538,Tolima,2352,Feb 2016
539,Antioquia,6157,Jul 2016
540,Bogota,2678,Jul 2016
541,Caldas,4217,Jul 2016
542,Huila,7409,Jul 2016
543,Quindio,4972,Jul 2016
544,Risaralda,7331,Jul 2016
545,Tolima,1144,Jul 2016
546,Antioquia,9228,Jun 2016
547,Bogota,3113,Jun 2016
548,Caldas,10069,Jun 2016
549,Huila,8139,Jun 2016
550,Quindio,6119,Jun 2016
551,Risaralda,8998,Jun 2016
552,Tolima,1591,Jun 2016
553,Antioquia,9741,Mar 2016
554,Bogota,3918,Mar 2016
555,Caldas,7911,Mar 2016
556,Huila,8461,Mar 2016
557,Quindio,4656,Mar 2016
558,Risaralda,9684,Mar 2016
559,Tolima,3078,Mar 2016
560,Antioquia,8830,May 2016
561,Bogota,3366,May 2016
562,Caldas,8227,May 2016
563,Huila,7098,May 2016
564,Quindio,4139,May 2016
565,Risaralda,8509,May 2016
566,Tolima,1748,May 2016
567,Antioquia,12640,Nov 2016
568,Bogota,2823,Nov 2016
569,Caldas,9084,Nov 2016
570,Huila,7385,Nov 2016
571,Quindio,6403,Nov 2016
572,Risaralda,9649,Nov 2016
573,Tolima,4215,Nov 2016
574,Antioquia,6884,Oct 2016
575,Bogota,4293,Oct 2016
576,Caldas,8419,Oct 2016
577,Huila,7592,Oct 2016
578,Quindio,5692,Oct 2016
579,Risaralda,6552,Oct 2016
580,Tolima,7136,Oct 2016
581,Antioquia,7416,Sep 2016
582,Bogota,4590,Sep 2016
583,Caldas,8623,Sep 2016
584,Huila,9184,Sep 2016
585,Quindio,6583,Sep 2016
586,Risaralda,6825,Sep 2016
587,Tolima,3389,Sep 2016
588,Antioquia,11112,Apr 2017
589,Bogota,1826,Apr 2017
590,Caldas,13303,Apr 2017
591,Huila,6275,Apr 2017
592,Quindio,5710,Apr 2017
593,Risaralda,8624,Apr 2017
594,Tolima,2882,Apr 2017
595,Antioquia,8547,Aug 2017
596,Bogota,1980,Aug 2017
597,Caldas,14354,Aug 2017
598,Huila,11575,Aug 2017
599,Quindio,5502,Aug 2017
600,Risaralda,7064,Aug 2017
601,Tolima,1810,Aug 2017
602,Antioquia,9644,Dec 2017
603,Bogota,1130,Dec 2017
604,Caldas,13447,Dec 2017
605,Huila,11797,Dec 2017
606,Quindio,4945,Dec 2017
607,Risaralda,7050,Dec 2017
608,Tolima,2408,Dec 2017
609,Antioquia,7649,Jan 2017
610,Bogota,2261,Jan 2017
611,Caldas,9173,Jan 2017
612,Huila,9506,Jan 2017
613,Quindio,6743,Jan 2017
614,Risaralda,10598,Jan 2017
615,Tolima,2460,Jan 2017
616,Antioquia,10698,Feb 2017
617,Bogota,2564,Feb 2017
618,Caldas,7685,Feb 2017
619,Huila,9470,Feb 2017
620,Quindio,6023,Feb 2017
621,Risaralda,7007,Feb 2017
622,Tolima,3516,Feb 2017
623,Antioquia,8156,Jul 2017
624,Bogota,2788,Jul 2017
625,Caldas,16869,Jul 2017
626,Huila,10296,Jul 2017
627,Quindio,6573,Jul 2017
628,Risaralda,7348,Jul 2017
629,Tolima,2127,Jul 2017
630,Antioquia,6135,Jun 2017
631,Bogota,1808,Jun 2017
632,Caldas,10094,Jun 2017
633,Huila,4903,Jun 2017
634,Quindio,2271,Jun 2017
635,Risaralda,5772,Jun 2017
636,Tolima,1589,Jun 2017
637,Antioquia,13005,Mar 2017
638,Bogota,2761,Mar 2017
639,Caldas,15448,Mar 2017
640,Huila,9677,Mar 2017
641,Quindio,6819,Mar 2017
642,Risaralda,8495,Mar 2017
643,Tolima,4000,Mar 2017
644,Antioquia,11774,May 2017
645,Bogota,1083,May 2017
646,Caldas,11222,May 2017
647,Huila,4577,May 2017
648,Quindio,3229,May 2017
649,Risaralda,7186,May 2017
650,Tolima,1855,May 2017
651,Antioquia,9721,Nov 2017
652,Bogota,737,Nov 2017
653,Caldas,14323,Nov 2017
654,Huila,11224,Nov 2017
655,Quindio,4833,Nov 2017
656,Risaralda,5431,Nov 2017
657,Tolima,2369,Nov 2017
658,Antioquia,8481,Oct 2017
659,Bogota,1118,Oct 2017
660,Caldas,12394,Oct 2017
661,Huila,12046,Oct 2017
662,Quindio,6443,Oct 2017
663,Risaralda,4879,Oct 2017
664,Tolima,3127,Oct 2017
665,Antioquia,8533,Sep 2017
666,Bogota,1592,Sep 2017
667,Caldas,13210,Sep 2017
668,Huila,14777,Sep 2017
669,Quindio,8312,Sep 2017
670,Risaralda,7113,Sep 2017
671,Tolima,2569,Sep 2017
672,Antioquia,11164,Apr 2018
673,Bogota,1263,Apr 2018
674,Caldas,16900,Apr 2018
675,Huila,6823,Apr 2018
676,Quindio,6792,Apr 2018
677,Risaralda,6615,Apr 2018
678,Tolima,2194,Apr 2018
679,Antioquia,12478,Jan 2018
680,Bogota,1627,Jan 2018
681,Caldas,14581,Jan 2018
682,Huila,12304,Jan 2018
683,Quindio,8986,Jan 2018
684,Risaralda,8713,Jan 2018
685,Tolima,3451,Jan 2018
686,Antioquia,9668,Feb 2018
687,Bogota,952,Feb 2018
688,Caldas,13420,Feb 2018
689,Huila,10084,Feb 2018
690,Quindio,4061,Feb 2018
691,Risaralda,4354,Feb 2018
692,Tolima,2191,Feb 2018
693,Antioquia,8514,Mar 2018
694,Bogota,854,Mar 2018
695,Caldas,15030,Mar 2018
696,Huila,8300,Mar 2018
697,Quindio,5747,Mar 2018
698,Risaralda,6396,Mar 2018
699,Tolima,2197,Mar 2018
700,Antioquia,9581,May 2018
701,Bogota,675,May 2018
702,Caldas,16098,May 2018
703,Huila,8022,May 2018
704,Quindio,6063,May 2018
705,Risaralda,5961,May 2018
706,Tolima,1777,May 2018
