DeptoOrigen,ValorMilespesos,date
Bogota,13800188,Jul 2010
Bogota,16305176,Aug 2010
Bogota,15605710,Sep 2010
Bogota,18156202,Oct 2010
Bogota,36083587,Nov 2010
Bogota,28335293,Dec 2010
Bogota,48443280,Jan 2011
Bogota,49594220,Feb 2011
Bogota,77162932,Mar 2011
Bogota,65629621,Apr 2011
Bogota,54085148,May 2011
Bogota,29834412,Jun 2011
Bogota,20935912,Jul 2011
Bogota,19823359,Aug 2011
Bogota,14756172,Sep 2011
Bogota,17868651,Oct 2011
Bogota,31698392,Nov 2011
Bogota,43837430,Dec 2011
Bogota,32897436,Jan 2012
Bogota,34428300,Feb 2012
Bogota,27736688,Mar 2012
Bogota,14026846,Apr 2012
Bogota,23221075,May 2012
Bogota,17744924,Jun 2012
Bogota,23688727,Jul 2012
Bogota,18474256,Aug 2012
Bogota,18016996,Sep 2012
Bogota,15499856,Oct 2012
Bogota,17803229,Nov 2012
Bogota,14554707,Dec 2012
Bogota,20872579,Jan 2013
Bogota,29665467,Feb 2013
Bogota,18158688,Mar 2013
Bogota,19756044,Apr 2013
Bogota,25598898,May 2013
Bogota,23380941,Jun 2013
Bogota,26578559,Jul 2013
Bogota,33393147,Aug 2013
Bogota,15381053,Sep 2013
Bogota,31824910,Oct 2013
Bogota,28678125,Nov 2013
Bogota,30103223,Dec 2013
Bogota,6418389,Jan 2014
Bogota,53417758,Feb 2014
Bogota,35737955,Mar 2014
Bogota,39986320,Apr 2014
Bogota,33058687,May 2014
Bogota,26838270,Jun 2014
Bogota,41788847,Jul 2014
Bogota,18591758,Aug 2014
Bogota,39425870,Sep 2014
Bogota,21193684,Oct 2014
Bogota,49482791,Nov 2014
Bogota,51924231,Dec 2014
Bogota,57392797,Jan 2015
Bogota,50080512,Feb 2015
Bogota,44258576,Mar 2015
Bogota,47794716,Apr 2015
Bogota,37967853,May 2015
Bogota,18250285,Jun 2015
Bogota,39835569,Jul 2015
Bogota,28577416,Aug 2015
Bogota,35970245,Sep 2015
Bogota,42907798,Oct 2015
Bogota,29217932,Nov 2015
Bogota,39556770,Dec 2015
Bogota,23418030,Jan 2016
Bogota,38869669,Feb 2016
Bogota,39423187,Mar 2016
Bogota,53025508,Apr 2016
Bogota,33733864,May 2016
Bogota,30655667,Jun 2016
Bogota,25831287,Jul 2016
Bogota,36198175,Aug 2016
Bogota,47974987,Sep 2016
Bogota,44761419,Oct 2016
Bogota,33847731,Nov 2016
Bogota,79496560,Dec 2016
Bogota,27266818,Jan 2017
Bogota,29623047,Feb 2017
Bogota,32747099,Mar 2017
Bogota,20155074,Apr 2017
Bogota,14009097,May 2017
Bogota,21527844,Jun 2017
Bogota,32718622,Jul 2017
Bogota,23631142,Aug 2017
Bogota,18503463,Sep 2017
Bogota,14936171,Oct 2017
Bogota,10456102,Nov 2017
Bogota,18093676,Dec 2017
Bogota,16714893,Jan 2018
Bogota,11152552,Feb 2018
Bogota,8924584,Mar 2018
Bogota,14613923,Apr 2018
Bogota,8477821,May 2018
Caldas,56119853,Jan 2010
Caldas,51682460,Feb 2010
Caldas,57687362,Mar 2010
Caldas,52023530,Apr 2010
Caldas,50439166,May 2010
Caldas,48247238,Jun 2010
Caldas,46198359,Jul 2010
Caldas,61700014,Aug 2010
Caldas,60161262,Sep 2010
Caldas,67532821,Oct 2010
Caldas,66563272,Nov 2010
Caldas,86746078,Dec 2010
Caldas,99962301,Jan 2011
Caldas,61268373,Feb 2011
Caldas,92963856,Mar 2011
Caldas,80322612,Apr 2011
Caldas,55963460,May 2011
Caldas,68120482,Jun 2011
Caldas,52802492,Jul 2011
Caldas,40659505,Aug 2011
Caldas,52120779,Sep 2011
Caldas,62670465,Oct 2011
Caldas,98895731,Nov 2011
Caldas,89799761,Dec 2011
Caldas,72522817,Jan 2012
Caldas,57940115,Feb 2012
Caldas,72194650,Mar 2012
Caldas,47621842,Apr 2012
Caldas,61965481,May 2012
Caldas,71623888,Jun 2012
Caldas,57832083,Jul 2012
Caldas,79027194,Aug 2012
Caldas,52857244,Sep 2012
Caldas,74147789,Oct 2012
Caldas,57465598,Nov 2012
Caldas,68106060,Dec 2012
Caldas,75633115,Jan 2013
Caldas,72595083,Feb 2013
Caldas,45910231,Mar 2013
Caldas,65435409,Apr 2013
Caldas,76220076,May 2013
Caldas,53277619,Jun 2013
Caldas,44123631,Jul 2013
Caldas,68616483,Aug 2013
Caldas,58369473,Sep 2013
Caldas,62012099,Oct 2013
Caldas,72168129,Nov 2013
Caldas,76924114,Dec 2013
Caldas,72575309,Jan 2014
Caldas,78487431,Feb 2014
Caldas,58754053,Mar 2014
Caldas,106306240,Apr 2014
Caldas,110643152,May 2014
Caldas,57658644,Jun 2014
Caldas,78731248,Jul 2014
Caldas,87280359,Aug 2014
Caldas,82593408,Sep 2014
Caldas,100537285,Oct 2014
Caldas,115606251,Nov 2014
Caldas,68444214,Dec 2014
Caldas,126590919,Jan 2015
Caldas,91766479,Feb 2015
Caldas,88092094,Mar 2015
Caldas,84852859,Apr 2015
Caldas,92773963,May 2015
Caldas,68747417,Jun 2015
Caldas,115613034,Jul 2015
Caldas,119379945,Aug 2015
Caldas,148124565,Sep 2015
Caldas,108966434,Oct 2015
Caldas,107103527,Nov 2015
Caldas,112022444,Dec 2015
Caldas,75316860,Jan 2016
Caldas,69298252,Feb 2016
Caldas,89324411,Mar 2016
Caldas,185003149,Apr 2016
Caldas,94722548,May 2016
Caldas,120207213,Jun 2016
Caldas,53809660,Jul 2016
Caldas,93190900,Aug 2016
Caldas,107439359,Sep 2016
Caldas,101190541,Oct 2016
Caldas,122412381,Nov 2016
Caldas,271486723,Dec 2016
Caldas,111235698,Jan 2017
Caldas,98499370,Feb 2017
Caldas,199891806,Mar 2017
Caldas,159627881,Apr 2017
Caldas,142022348,May 2017
Caldas,121320275,Jun 2017
Caldas,199779723,Jul 2017
Caldas,167961762,Aug 2017
Caldas,159397308,Sep 2017
Caldas,150143205,Oct 2017
Caldas,167566049,Nov 2017
Caldas,155056544,Dec 2017
Caldas,157542184,Jan 2018
Caldas,144715752,Feb 2018
Caldas,159890404,Mar 2018
Caldas,177733844,Apr 2018
Caldas,169840058,May 2018
Huila,46729309,Jan 2010
Huila,30670328,Feb 2010
Huila,54281750,Mar 2010
Huila,36170121,Apr 2010
Huila,38553581,May 2010
Huila,30005549,Jun 2010
Huila,39345899,Jul 2010
Huila,46242956,Aug 2010
Huila,52272828,Sep 2010
Huila,63148909,Oct 2010
Huila,83500031,Nov 2010
Huila,126471372,Dec 2010
Huila,108231906,Jan 2011
Huila,77540051,Feb 2011
Huila,100382358,Mar 2011
Huila,73371523,Apr 2011
Huila,38738843,May 2011
Huila,61822436,Jun 2011
Huila,52643509,Jul 2011
Huila,61922655,Aug 2011
Huila,66416471,Sep 2011
Huila,73385350,Oct 2011
Huila,85515116,Nov 2011
Huila,119750492,Dec 2011
Huila,62617343,Jan 2012
Huila,57245325,Feb 2012
Huila,55348266,Mar 2012
Huila,30942437,Apr 2012
Huila,40015596,May 2012
Huila,36850669,Jun 2012
Huila,49088639,Jul 2012
Huila,59526943,Aug 2012
Huila,40733780,Sep 2012
Huila,62240227,Oct 2012
Huila,56295592,Nov 2012
Huila,50358609,Dec 2012
Huila,62691235,Jan 2013
Huila,54829198,Feb 2013
Huila,36540473,Mar 2013
Huila,41947948,Apr 2013
Huila,58362835,May 2013
Huila,40868405,Jun 2013
Huila,50894092,Jul 2013
Huila,58075909,Aug 2013
Huila,49792760,Sep 2013
Huila,58802590,Oct 2013
Huila,57002536,Nov 2013
Huila,65991258,Dec 2013
Huila,48758839,Jan 2014
Huila,66758405,Feb 2014
Huila,52446610,Mar 2014
Huila,52873838,Apr 2014
Huila,45464204,May 2014
Huila,58805163,Jun 2014
Huila,74745526,Jul 2014
Huila,74220405,Aug 2014
Huila,101352163,Sep 2014
Huila,99369288,Oct 2014
Huila,80662937,Nov 2014
Huila,104039953,Dec 2014
Huila,95742218,Jan 2015
Huila,106249877,Feb 2015
Huila,87745586,Mar 2015
Huila,60168968,Apr 2015
Huila,70314308,May 2015
Huila,84307782,Jun 2015
Huila,123600318,Jul 2015
Huila,122225909,Aug 2015
Huila,158492687,Sep 2015
Huila,105479771,Oct 2015
Huila,95685618,Nov 2015
Huila,122226002,Dec 2015
Huila,106244781,Jan 2016
Huila,110522868,Feb 2016
Huila,80012861,Mar 2016
Huila,126552578,Apr 2016
Huila,64503017,May 2016
Huila,75231349,Jun 2016
Huila,70203311,Jul 2016
Huila,73818175,Aug 2016
Huila,91544751,Sep 2016
Huila,77013217,Oct 2016
Huila,82519286,Nov 2016
Huila,251906583,Dec 2016
Huila,105165874,Jan 2017
Huila,101876865,Feb 2017
Huila,103091429,Mar 2017
Huila,62734369,Apr 2017
Huila,46564400,May 2017
Huila,50014460,Jun 2017
Huila,106070084,Jul 2017
Huila,116381139,Aug 2017
Huila,148263103,Sep 2017
Huila,121662682,Oct 2017
Huila,114673748,Nov 2017
Huila,118750612,Dec 2017
Huila,118519339,Jan 2018
Huila,94455002,Feb 2018
Huila,77446839,Mar 2018
Huila,60096506,Apr 2018
Huila,73108841,May 2018
Quindio,12154076,Jan 2010
Quindio,14380068,Feb 2010
Quindio,12716975,Mar 2010
Quindio,14469328,Apr 2010
Quindio,14723246,May 2010
Quindio,15174884,Jun 2010
Quindio,15194571,Jul 2010
Quindio,11935209,Aug 2010
Quindio,14094761,Sep 2010
Quindio,16488699,Oct 2010
Quindio,19111931,Nov 2010
Quindio,32212381,Dec 2010
Quindio,35505447,Jan 2011
Quindio,28838562,Feb 2011
Quindio,28931402,Mar 2011
Quindio,26972492,Apr 2011
Quindio,15103678,May 2011
Quindio,23816622,Jun 2011
Quindio,23480507,Jul 2011
Quindio,18516596,Aug 2011
Quindio,16849643,Sep 2011
Quindio,27924280,Oct 2011
Quindio,26782359,Nov 2011
Quindio,43321529,Dec 2011
Quindio,42591560,Jan 2012
Quindio,19789144,Feb 2012
Quindio,31509603,Mar 2012
Quindio,19158894,Apr 2012
Quindio,26245992,May 2012
Quindio,27571650,Jun 2012
Quindio,20518591,Jul 2012
Quindio,26423625,Aug 2012
Quindio,25578943,Sep 2012
Quindio,28370569,Oct 2012
Quindio,17245171,Nov 2012
Quindio,19563327,Dec 2012
Quindio,22762235,Jan 2013
Quindio,17562093,Feb 2013
Quindio,13338554,Mar 2013
Quindio,29560921,Apr 2013
Quindio,29813834,May 2013
Quindio,28014800,Jun 2013
Quindio,43610880,Jul 2013
Quindio,41448499,Aug 2013
Quindio,36652698,Sep 2013
Quindio,38826934,Oct 2013
Quindio,25051452,Nov 2013
Quindio,40516258,Dec 2013
Quindio,30143350,Jan 2014
Quindio,38557659,Feb 2014
Quindio,23707628,Mar 2014
Quindio,35505183,Apr 2014
Quindio,31188853,May 2014
Quindio,40742446,Jun 2014
Quindio,40296891,Jul 2014
Quindio,49700161,Aug 2014
Quindio,47487360,Sep 2014
Quindio,60808932,Oct 2014
Quindio,69042090,Nov 2014
Quindio,53796507,Dec 2014
Quindio,80982436,Jan 2015
Quindio,75783407,Feb 2015
Quindio,70376541,Mar 2015
Quindio,42861910,Apr 2015
Quindio,57275126,May 2015
Quindio,47421842,Jun 2015
Quindio,64500802,Jul 2015
Quindio,61581962,Aug 2015
Quindio,88570627,Sep 2015
Quindio,55408968,Oct 2015
Quindio,57752818,Nov 2015
Quindio,65603178,Dec 2015
Quindio,62469846,Jan 2016
Quindio,73984944,Feb 2016
Quindio,46454664,Mar 2016
Quindio,73275181,Apr 2016
Quindio,38096647,May 2016
Quindio,56800101,Jun 2016
Quindio,49092953,Jul 2016
Quindio,45334629,Aug 2016
Quindio,65830768,Sep 2016
Quindio,58556126,Oct 2016
Quindio,71358499,Nov 2016
Quindio,144123126,Dec 2016
Quindio,76620150,Jan 2017
Quindio,64476604,Feb 2017
Quindio,73740605,Mar 2017
Quindio,60041035,Apr 2017
Quindio,35107102,May 2017
Quindio,23165727,Jun 2017
Quindio,68182090,Jul 2017
Quindio,56142127,Aug 2017
Quindio,88391533,Sep 2017
Quindio,68652073,Oct 2017
Quindio,49235423,Nov 2017
Quindio,50227594,Dec 2017
Quindio,86252121,Jan 2018
Quindio,39001372,Feb 2018
Quindio,53459411,Mar 2018
Quindio,61350025,Apr 2018
Quindio,57946243,May 2018
Risaralda,47605391,Jan 2010
Risaralda,47051022,Feb 2010
Risaralda,62128512,Mar 2010
Risaralda,63709590,Apr 2010
Risaralda,84691691,May 2010
Risaralda,65054419,Jun 2010
Risaralda,53458848,Jul 2010
Risaralda,43977151,Aug 2010
Risaralda,40041859,Sep 2010
Risaralda,67779227,Oct 2010
Risaralda,70979032,Nov 2010
Risaralda,114313748,Dec 2010
Risaralda,79665452,Jan 2011
Risaralda,84420071,Feb 2011
Risaralda,94725065,Mar 2011
Risaralda,89941623,Apr 2011
Risaralda,71799804,May 2011
Risaralda,75548701,Jun 2011
Risaralda,44162105,Jul 2011
Risaralda,44609289,Aug 2011
Risaralda,43520891,Sep 2011
Risaralda,52419864,Oct 2011
Risaralda,101786001,Nov 2011
Risaralda,90855467,Dec 2011
Risaralda,54336340,Jan 2012
Risaralda,49496117,Feb 2012
Risaralda,50258937,Mar 2012
Risaralda,39001196,Apr 2012
Risaralda,64800962,May 2012
Risaralda,52744587,Jun 2012
Risaralda,55683348,Jul 2012
Risaralda,55446168,Aug 2012
Risaralda,38896360,Sep 2012
Risaralda,50262758,Oct 2012
Risaralda,41538023,Nov 2012
Risaralda,49014168,Dec 2012
Risaralda,50010904,Jan 2013
Risaralda,36002985,Feb 2013
Risaralda,35283959,Mar 2013
Risaralda,44057872,Apr 2013
Risaralda,48838115,May 2013
Risaralda,38942234,Jun 2013
Risaralda,36603760,Jul 2013
Risaralda,28949192,Aug 2013
Risaralda,53460367,Sep 2013
Risaralda,30012982,Oct 2013
Risaralda,59219948,Nov 2013
Risaralda,49228585,Dec 2013
Risaralda,50142527,Jan 2014
Risaralda,70946213,Feb 2014
Risaralda,40163898,Mar 2014
Risaralda,76317817,Apr 2014
Risaralda,76955134,May 2014
Risaralda,38870235,Jun 2014
Risaralda,73768910,Jul 2014
Risaralda,65800098,Aug 2014
Risaralda,61049578,Sep 2014
Risaralda,97436725,Oct 2014
Risaralda,103407596,Nov 2014
Risaralda,112931101,Dec 2014
Risaralda,119445843,Jan 2015
Risaralda,80983896,Feb 2015
Risaralda,59700409,Mar 2015
Risaralda,58582043,Apr 2015
Risaralda,84267920,May 2015
Risaralda,68453601,Jun 2015
Risaralda,116147832,Jul 2015
Risaralda,116328706,Aug 2015
Risaralda,93560880,Sep 2015
Risaralda,72176502,Oct 2015
Risaralda,101779656,Nov 2015
Risaralda,132522216,Dec 2015
Risaralda,92836310,Jan 2016
Risaralda,101915297,Feb 2016
Risaralda,88041281,Mar 2016
Risaralda,122248781,Apr 2016
Risaralda,74031537,May 2016
Risaralda,83014114,Jun 2016
Risaralda,69027379,Jul 2016
Risaralda,75486392,Aug 2016
Risaralda,67702496,Sep 2016
Risaralda,67594227,Oct 2016
Risaralda,105162180,Nov 2016
Risaralda,127205235,Dec 2016
Risaralda,112218842,Jan 2017
Risaralda,70677266,Feb 2017
Risaralda,88808719,Mar 2017
Risaralda,85660313,Apr 2017
Risaralda,72426033,May 2017
Risaralda,58290288,Jun 2017
Risaralda,73323528,Jul 2017
Risaralda,71039703,Aug 2017
Risaralda,70133404,Sep 2017
Risaralda,49134939,Oct 2017
Risaralda,54087195,Nov 2017
Risaralda,68534618,Dec 2017
Risaralda,81112731,Jan 2018
Risaralda,38587145,Feb 2018
Risaralda,57194026,Mar 2018
Risaralda,57069142,Apr 2018
Risaralda,53845545,May 2018
Tolima,9027278,Jan 2010
Tolima,13951099,Feb 2010
Tolima,10715008,Mar 2010
Tolima,13367965,Apr 2010
Tolima,18810396,May 2010
Tolima,22559299,Jun 2010
Tolima,18212229,Jul 2010
Tolima,16715505,Aug 2010
Tolima,11779241,Sep 2010
Tolima,11603717,Oct 2010
Tolima,15279069,Nov 2010
Tolima,23488479,Dec 2010
Tolima,18523846,Jan 2011
Tolima,26012405,Feb 2011
Tolima,20841891,Mar 2011
Tolima,14268138,Apr 2011
Tolima,10760981,May 2011
Tolima,24204309,Jun 2011
Tolima,8491183,Jul 2011
Tolima,27704975,Aug 2011
Tolima,20060287,Sep 2011
Tolima,8873741,Oct 2011
Tolima,30813137,Nov 2011
Tolima,23152251,Dec 2011
Tolima,28721273,Jan 2012
Tolima,26812381,Feb 2012
Tolima,23583644,Mar 2012
Tolima,18187385,Apr 2012
Tolima,27914227,May 2012
Tolima,41943800,Jun 2012
Tolima,30416217,Jul 2012
Tolima,34043946,Aug 2012
Tolima,13038887,Sep 2012
Tolima,25928993,Oct 2012
Tolima,19388425,Nov 2012
Tolima,12575034,Dec 2012
Tolima,10705643,Jan 2013
Tolima,20181978,Feb 2013
Tolima,11621982,Mar 2013
Tolima,20638923,Apr 2013
Tolima,20978322,May 2013
Tolima,17782037,Jun 2013
Tolima,24248689,Jul 2013
Tolima,22316410,Aug 2013
Tolima,19695179,Sep 2013
Tolima,16150938,Oct 2013
Tolima,17802237,Nov 2013
Tolima,11965468,Dec 2013
Tolima,14052878,Jan 2014
Tolima,21825420,Feb 2014
Tolima,18257493,Mar 2014
Tolima,13826246,Apr 2014
Tolima,35076026,May 2014
Tolima,25783504,Jun 2014
Tolima,30692797,Jul 2014
Tolima,30469985,Aug 2014
Tolima,26467410,Sep 2014
Tolima,32573276,Oct 2014
Tolima,29903265,Nov 2014
Tolima,29710589,Dec 2014
Tolima,35989565,Jan 2015
Tolima,32275599,Feb 2015
Tolima,34624019,Mar 2015
Tolima,30491365,Apr 2015
Tolima,21278299,May 2015
Tolima,35879635,Jun 2015
Tolima,34924771,Jul 2015
Tolima,34460828,Aug 2015
Tolima,41376841,Sep 2015
Tolima,32878967,Oct 2015
Tolima,30774872,Nov 2015
Tolima,34777234,Dec 2015
Tolima,35103460,Jan 2016
Tolima,31657345,Feb 2016
Tolima,34328671,Mar 2016
Tolima,26466878,Apr 2016
Tolima,20537826,May 2016
Tolima,22871774,Jun 2016
Tolima,14311726,Jul 2016
Tolima,32827642,Aug 2016
Tolima,39258168,Sep 2016
Tolima,77278139,Oct 2016
Tolima,51777007,Nov 2016
Tolima,64191606,Dec 2016
Tolima,33929741,Jan 2017
Tolima,43027895,Feb 2017
Tolima,50169932,Mar 2017
Tolima,33307824,Apr 2017
Tolima,27731846,May 2017
Tolima,19103329,Jun 2017
Tolima,26667921,Jul 2017
Tolima,23685718,Aug 2017
Tolima,28907295,Sep 2017
Tolima,34936981,Oct 2017
Tolima,27975832,Nov 2017
Tolima,29059015,Dec 2017
Tolima,35282112,Jan 2018
Tolima,23848073,Feb 2018
Tolima,24359244,Mar 2018
Tolima,26389473,Apr 2018
Tolima,22116462,May 2018
